s,mV
0.040400000000000005,-85.37885842639989
0.0405,-85.37886626346092
0.040600000000000004,-85.37887410052197
0.0407,-85.378881937583
0.0408,-85.37888977464405
0.040900000000000006,-85.37889761170509
0.041,-85.37890544876613
0.041100000000000005,-85.37891328582717
0.0412,-85.3789211228882
0.0413,-85.37892895994925
0.041400000000000006,-85.37893679701028
0.0415,-85.37894463407133
0.0416,-85.37895247113237
0.0417,-85.3789603081934
0.041800000000000004,-85.37896814525445
0.04190000000000001,-85.37897598231548
0.042,-85.37898381937653
0.0421,-85.37899165643756
0.0422,-85.37899949349861
0.042300000000000004,-85.37900733055965
0.04240000000000001,-85.37901516762068
0.0425,-85.37902300468173
0.0426,-85.3790309308964
0.0427,-85.37903889921577
0.042800000000000005,-85.37904686753512
0.04290000000000001,-85.37905483585448
0.043,-85.37906280417383
0.0431,-85.3790707724932
0.0432,-85.37907874081255
0.043300000000000005,-85.3790867091319
0.04340000000000001,-85.37909467745125
0.0435,-85.37910264577062
0.0436,-85.37911061408997
0.0437,-85.37911858240932
0.043800000000000006,-85.37912655072867
0.04390000000000001,-85.37913451904804
0.044,-85.37914248736739
0.0441,-85.37915045568674
0.0442,-85.37915842400609
0.044300000000000006,-85.37916639232546
0.04440000000000001,-85.37917436064481
0.0445,-85.37918232896416
0.0446,-85.37919029728351
0.044700000000000004,-85.37919826560288
0.044800000000000006,-85.37920623392223
0.0449,-85.37921420224158
0.045,-85.37922217056094
0.0451,-85.3792301388803
0.045200000000000004,-85.37923810719965
0.04530000000000001,-85.379246075519
0.0454,-85.37925404383836
0.0455,-85.37926201215772
0.0456,-85.37926998047708
0.045700000000000005,-85.37927794879643
0.04580000000000001,-85.37928591711578
0.0459,-85.37929388543515
0.046,-85.3793018537545
0.0461,-85.37930982207385
0.046200000000000005,-85.3793177903932
0.0463,-85.37932575871257
0.046400000000000004,-85.37933372703192
0.0465,-85.37934169535127
0.0466,-85.37934966367062
0.046700000000000005,-85.37935763198999
0.0468,-85.37936560030934
0.046900000000000004,-85.3793735686287
0.047,-85.37938153694805
0.0471,-85.37938950526741
0.047200000000000006,-85.37939747358676
0.0473,-85.37940544190612
0.047400000000000005,-85.37941341022547
0.0475,-85.37942137854483
0.0476,-85.37942934686419
0.047700000000000006,-85.37943731518354
0.0478,-85.37944528350289
0.047900000000000005,-85.37945325182226
0.048,-85.37946122014161
0.048100000000000004,-85.37946918846096
0.0482,-85.37947715678031
0.0483,-85.37948512509968
0.048400000000000006,-85.37949309341903
0.0485,-85.37950106173838
0.048600000000000004,-85.37950903005773
0.0487,-85.3795169983771
0.0488,-85.37952496669645
0.048900000000000006,-85.3795329350158
0.049,-85.37954090333515
0.049100000000000005,-85.37954887165452
0.0492,-85.37955683997387
0.049300000000000004,-85.37956480829322
0.049400000000000006,-85.37957277661258
0.0495,-85.37958074493194
0.0496,-85.3795887132513
0.0497,-85.37959668157065
0.049800000000000004,-85.37960464989
0.04990000000000001,-85.37961261820935
0.05,-85.37962058652872
0.0501,-85.37962855484807
0.0502,-85.37963652316742
0.050300000000000004,-85.37964449148677
0.05040000000000001,-85.37965245980614
0.0505,-85.37966042812549
0.0506,-85.37966839644484
0.0507,-85.3796763647642
0.050800000000000005,-85.37968433308356
0.05090000000000001,-85.37969230140291
0.051,-85.37970026972226
0.0511,-85.37970823804162
0.0512,-85.37971620636098
0.051300000000000005,-85.37972417468033
0.05140000000000001,-85.37973214299969
0.0515,-85.37974011131904
0.0516,-85.3797480796384
0.0517,-85.37975604795776
0.051800000000000006,-85.37976401627711
0.05190000000000001,-85.37977198459646
0.052,-85.37977995291583
0.0521,-85.37978792123518
0.0522,-85.37979588955453
0.052300000000000006,-85.37980385787388
0.05240000000000001,-85.37981182619325
0.0525,-85.3798197945126
0.0526,-85.37982776283195
0.052700000000000004,-85.3798357311513
0.05280000000000001,-85.37984369947067
0.0529,-85.37985166779002
0.053,-85.37985963610937
0.0531,-85.37986760442872
0.053200000000000004,-85.37987557274809
0.05330000000000001,-85.37988354106744
0.0534,-85.3798915093868
0.0535,-85.37989947770615
0.0536,-85.37990744602551
0.053700000000000005,-85.37991541434486
0.05380000000000001,-85.37992338266422
0.0539,-85.37993135098357
0.054,-85.37993931930293
0.0541,-85.37994728762229
0.054200000000000005,-85.37995525594164
0.0543,-85.37996322426099
0.054400000000000004,-85.37997119258036
0.0545,-85.37997916089971
0.0546,-85.37998712921906
0.054700000000000006,-85.37999509753841
0.0548,-85.38000306585778
0.054900000000000004,-85.38001096221208
0.055,-85.38001881558608
0.0551,-85.38002666823053
0.055200000000000006,-85.38003452014544
0.0553,-85.38004237133082
0.055400000000000005,-85.38005022178666
0.0555,-85.38005807151295
0.055600000000000004,-85.38006592050971
0.0557,-85.38007376877692
0.0558,-85.38008161631461
0.055900000000000005,-85.38008946312274
0.056,-85.38009730920135
0.056100000000000004,-85.3801051545504
0.0562,-85.38011299916994
0.0563,-85.38012084305991
0.056400000000000006,-85.38012868622036
0.0565,-85.38013652865126
0.056600000000000004,-85.38014437035264
0.0567,-85.38015221132446
0.0568,-85.38016005156675
0.056900000000000006,-85.3801678910795
0.057,-85.38017572986271
0.0571,-85.38018356791638
0.0572,-85.38019140524051
0.057300000000000004,-85.3801992418351
0.05740000000000001,-85.38020707770016
0.0575,-85.38021491283567
0.0576,-85.38022274724165
0.0577,-85.38023058091808
0.057800000000000004,-85.38023841386499
0.05790000000000001,-85.38024624608234
0.058,-85.38025407757016
0.0581,-85.38026190832844
0.0582,-85.38026973835719
0.058300000000000005,-85.38027756765638
0.05840000000000001,-85.38028539622604
0.0585,-85.38029322406616
0.0586,-85.38030105117676
0.0587,-85.3803088775578
0.058800000000000005,-85.3803167032093
0.05890000000000001,-85.38032452813127
0.059,-85.3803323523237
0.0591,-85.38034017578659
0.0592,-85.38034799851994
0.059300000000000005,-85.38035582052375
0.05940000000000001,-85.38036364179803
0.0595,-85.38037146234275
0.0596,-85.38037928215795
0.0597,-85.3803871012436
0.059800000000000006,-85.38039491959972
0.05990000000000001,-85.38040273722629
0.06,-85.38041055412333
0.0601,-85.38041837029084
0.060200000000000004,-85.3804261857288
0.060300000000000006,-85.38043400043722
0.0604,-85.38044181441609
0.0605,-85.38044962766544
0.0606,-85.38045744018524
0.060700000000000004,-85.38046525197551
0.06080000000000001,-85.38047306303623
0.0609,-85.38048087336742
0.061,-85.38048868296906
0.0611,-85.38049649184117
0.061200000000000004,-85.38050429998374
0.06130000000000001,-85.38051210739677
0.0614,-85.38051991408025
0.0615,-85.38052772003421
0.0616,-85.38053552525862
0.061700000000000005,-85.3805433297535
0.06180000000000001,-85.38055113351882
0.061900000000000004,-85.38055893655462
0.062,-85.38056673886088
0.0621,-85.38057454043759
0.062200000000000005,-85.38058234128476
0.0623,-85.38059014140241
0.062400000000000004,-85.38059794079051
0.0625,-85.38060573944907
0.0626,-85.38061353737808
0.0627,-85.38062133457757
0.06280000000000001,-85.38062913104751
0.06290000000000001,-85.38063692678791
0.063,-85.38064472179879
0.0631,-85.3806525160801
0.0632,-85.38066030963189
0.06330000000000001,-85.38066810245414
0.06340000000000001,-85.38067589454685
0.0635,-85.38068368591001
0.0636,-85.38069147654365
0.0637,-85.38069926644773
0.06380000000000001,-85.3807070556223
0.06390000000000001,-85.3807148440673
0.064,-85.38072263178277
0.0641,-85.38073041876872
0.06420000000000001,-85.38073820502511
0.0643,-85.38074599055197
0.0644,-85.38075377534929
0.0645,-85.38076155941707
0.0646,-85.3807693427553
0.06470000000000001,-85.380777125364
0.0648,-85.38078490724317
0.0649,-85.38079268839279
0.065,-85.38080046881286
0.0651,-85.38080824850341
0.06520000000000001,-85.38081602746442
0.0653,-85.38082380569588
0.0654,-85.3808315831978
0.0655,-85.3808393599702
0.0656,-85.38084713601305
0.06570000000000001,-85.38085491132635
0.0658,-85.38086268591013
0.0659,-85.38087045976435
0.066,-85.38087823288905
0.0661,-85.3808860052842
0.06620000000000001,-85.38089377694982
0.0663,-85.3809015478859
0.0664,-85.38090931809242
0.0665,-85.38091708756943
0.0666,-85.38092485631688
0.06670000000000001,-85.3809326243348
0.0668,-85.38094039162318
0.0669,-85.38094815818202
0.067,-85.38095592401132
0.0671,-85.38096368911108
0.06720000000000001,-85.38097145348131
0.0673,-85.38097921712199
0.0674,-85.38098698003313
0.0675,-85.38099474221474
0.06760000000000001,-85.3810025036668
0.0677,-85.38101026438933
0.0678,-85.38101802438233
0.0679,-85.38102578364577
0.068,-85.38103354217968
0.06810000000000001,-85.38104129998405
0.0682,-85.38104905705889
0.0683,-85.38105681340419
0.0684,-85.38106456901994
0.0685,-85.38107232390615
0.06860000000000001,-85.38108007806282
0.0687,-85.38108783148996
0.0688,-85.38109558418756
0.0689,-85.38110333615562
0.069,-85.38111108739413
0.06910000000000001,-85.38111883790312
0.0692,-85.38112658768256
0.0693,-85.38113433673246
0.0694,-85.38114208505283
0.0695,-85.38114983264364
0.06960000000000001,-85.38115757950493
0.0697,-85.38116532563667
0.0698,-85.38117307103889
0.0699,-85.38118081571156
0.07,-85.38118855965469
0.07010000000000001,-85.38119630286828
0.0702,-85.38120404535232
0.0703,-85.38121178710684
0.0704,-85.38121952813181
0.0705,-85.38122726842724
0.07060000000000001,-85.38123500799313
0.0707,-85.38124274682949
0.0708,-85.3812504849363
0.0709,-85.38125822231358
0.071,-85.38126595896132
0.07110000000000001,-85.38127369487951
0.0712,-85.38128143006817
0.0713,-85.3812891645273
0.0714,-85.38129689825688
0.0715,-85.38130463125692
0.07160000000000001,-85.38131236352743
0.0717,-85.38132009506839
0.0718,-85.38132782587981
0.0719,-85.3813355559617
0.072,-85.38134328531405
0.07210000000000001,-85.38135101393685
0.0722,-85.38135874183013
0.0723,-85.38136646899385
0.0724,-85.38137419542804
0.0725,-85.3813819211327
0.07260000000000001,-85.3813896461078
0.0727,-85.38139737035338
0.0728,-85.38140509386942
0.0729,-85.38141281665591
0.073,-85.38142053871286
0.07310000000000001,-85.38142826004028
0.0732,-85.38143598063816
0.0733,-85.3814437005065
0.0734,-85.3814514196453
0.0735,-85.38145913805455
0.07360000000000001,-85.38146685573427
0.0737,-85.38147457268447
0.07379999999999999,-85.3814822889051
0.07390000000000001,-85.38149000439621
0.074,-85.38149771915778
0.07410000000000001,-85.3815054331898
0.0742,-85.38151314649228
0.07429999999999999,-85.38152085906523
0.07440000000000001,-85.38152857090864
0.0745,-85.38153628202251
0.07460000000000001,-85.38154399240685
0.0747,-85.38155170206164
0.07479999999999999,-85.3815594109869
0.07490000000000001,-85.3815671191826
0.075,-85.38157482664877
0.07510000000000001,-85.38158253338541
0.0752,-85.38159023939251
0.07529999999999999,-85.38159794467006
0.07540000000000001,-85.38160564921809
0.0755,-85.38161335303656
0.07560000000000001,-85.3816210561255
0.0757,-85.38162875848491
0.07579999999999999,-85.38163646011476
0.07590000000000001,-85.38164416101509
0.076,-85.38165186118587
0.07610000000000001,-85.38165956062711
0.0762,-85.38166725933881
0.07629999999999999,-85.38167495732098
0.07640000000000001,-85.38168265457361
0.0765,-85.3816903510967
0.07660000000000002,-85.38169804689025
0.0767,-85.38170574195426
0.07680000000000001,-85.38171343628873
0.07690000000000001,-85.38172112989366
0.077,-85.38172882276905
0.0771,-85.3817365149149
0.0772,-85.38174420633122
0.07730000000000001,-85.38175189701799
0.07740000000000001,-85.38175958697524
0.0775,-85.38176727620292
0.0776,-85.38177496470108
0.0777,-85.38178265246971
0.07780000000000001,-85.38179033950878
0.07790000000000001,-85.38179802581833
0.078,-85.38180571139833
0.0781,-85.38181339624879
0.0782,-85.38182108036972
0.07830000000000001,-85.38182876376109
0.07840000000000001,-85.38183644642294
0.0785,-85.38184412835525
0.0786,-85.38185180955801
0.0787,-85.38185949003125
0.07880000000000001,-85.38186716977494
0.07890000000000001,-85.38187484878908
0.079,-85.3818825270737
0.0791,-85.38189020462876
0.0792,-85.3818978814543
0.07930000000000001,-85.38190555755028
0.07940000000000001,-85.38191323291674
0.0795,-85.38192090755366
0.0796,-85.38192858146104
0.07970000000000001,-85.38193625463887
0.07980000000000001,-85.38194392708716
0.0799,-85.38195159880593
0.08,-85.38195926979515
0.0801,-85.38196694005482
0.08020000000000001,-85.38197460958497
0.08030000000000001,-85.38198227838558
0.0804,-85.38198994645664
0.0805,-85.38199761379816
0.0806,-85.38200528041014
0.08070000000000001,-85.38201294629259
0.08080000000000001,-85.3820206114455
0.0809,-85.38202827586886
0.081,-85.3820359395627
0.0811,-85.38204360252699
0.08120000000000001,-85.38205126476174
0.08130000000000001,-85.38205892626695
0.0814,-85.38206658704263
0.0815,-85.38207424708875
0.0816,-85.38208190640535
0.08170000000000001,-85.38208956499241
0.08180000000000001,-85.38209722284992
0.0819,-85.3821048799779
0.082,-85.38211253637634
0.0821,-85.38212019204524
0.08220000000000001,-85.3821278469846
0.08230000000000001,-85.38213550119441
0.0824,-85.3821431546747
0.0825,-85.38215080742545
0.0826,-85.38215845944664
0.08270000000000001,-85.38216611073831
0.08280000000000001,-85.38217376130044
0.0829,-85.38218141113302
0.083,-85.38218906023607
0.08310000000000001,-85.38219670860957
0.0832,-85.38220435625354
0.08330000000000001,-85.38221200316798
0.0834,-85.38221964935286
0.0835,-85.38222729480822
0.08360000000000001,-85.38223493953403
0.0837,-85.3822425835303
0.08380000000000001,-85.38225022679704
0.0839,-85.38225786933424
0.084,-85.3822655111419
0.08410000000000001,-85.38227315222001
0.0842,-85.38228079256858
0.08430000000000001,-85.38228843218762
0.0844,-85.38229607107712
0.0845,-85.38230370923708
0.08460000000000001,-85.3823113466675
0.0847,-85.38231898336839
0.08480000000000001,-85.38232661933974
0.0849,-85.38233425458154
0.085,-85.38234188909381
0.08510000000000001,-85.38234952287652
0.0852,-85.38235715592971
0.08530000000000001,-85.38236478825337
0.0854,-85.38237241984747
0.0855,-85.38238005071204
0.08560000000000001,-85.38238768084707
0.0857,-85.38239531025256
0.08580000000000002,-85.38240293892852
0.0859,-85.38241056687494
0.086,-85.38241819409181
0.08610000000000001,-85.38242582057914
0.0862,-85.38243339622466
0.08630000000000002,-85.38244095582492
0.0864,-85.38244851428077
0.0865,-85.38245607159217
0.08660000000000001,-85.38246362775915
0.0867,-85.3824711827817
0.08680000000000002,-85.38247873665982
0.0869,-85.38248628939351
0.087,-85.38249384098278
0.08710000000000001,-85.38250139142762
0.0872,-85.38250894072803
0.08730000000000002,-85.38251648888401
0.0874,-85.38252403589556
0.0875,-85.38253158176268
0.08760000000000001,-85.38253912648537
0.0877,-85.38254667006363
0.08780000000000002,-85.38255421249747
0.0879,-85.38256175378689
0.088,-85.38256929393187
0.08810000000000001,-85.38257683293241
0.0882,-85.38258437078854
0.08830000000000002,-85.38259190750023
0.0884,-85.38259944306749
0.0885,-85.38260697749033
0.08860000000000001,-85.38261451076873
0.0887,-85.38262204290271
0.08880000000000002,-85.38262957389226
0.0889,-85.38263710373738
0.089,-85.38264463243807
0.08910000000000001,-85.38265215999434
0.0892,-85.38265968640617
0.08930000000000002,-85.38266721167358
0.08940000000000001,-85.38267473579656
0.0895,-85.3826822587751
0.08960000000000001,-85.38268978060923
0.0897,-85.38269730129892
0.0898,-85.38270482084418
0.08990000000000001,-85.38271233924502
0.09,-85.38271985650142
