# Analysis start time: 				19969.760000000002 ms
# Analysis stop time:				21377.960000000003 ms
# Upper limit for maxima:			50.0 mV
# Lower limit for maxima:			-10.0 mV
# Upper limit for minima:			-50.0 mV
# Lower limit for minima:			-90.0 mV
# Maximum peak half width:			250.0 ms
# Minimum peak amplitude:			50.0 mV
# Running average window size:		25
# Window multiplier for derivative:	1.0
# Window multiplier for maxima:		4.0
# Window multiplier for minima:		16.0
# Time (ms)	Averaged signal (mV)	Filtered average (mV)
-1.742200e+02	-3.596702e+01	-3.595669e+01
-1.742000e+02	-3.598583e+01	-3.597820e+01
-1.741800e+02	-3.600567e+01	-3.599923e+01
-1.741600e+02	-3.602293e+01	-3.601962e+01
-1.741400e+02	-3.603822e+01	-3.603945e+01
-1.741200e+02	-3.605243e+01	-3.605920e+01
-1.741000e+02	-3.607687e+01	-3.607806e+01
-1.740800e+02	-3.609925e+01	-3.609650e+01
-1.740600e+02	-3.611755e+01	-3.611462e+01
-1.740400e+02	-3.613228e+01	-3.613297e+01
-1.740200e+02	-3.615263e+01	-3.615137e+01
-1.740000e+02	-3.616942e+01	-3.616983e+01
-1.739800e+02	-3.618417e+01	-3.618868e+01
-1.739600e+02	-3.619993e+01	-3.620773e+01
-1.739400e+02	-3.622285e+01	-3.622683e+01
-1.739200e+02	-3.624370e+01	-3.624639e+01
-1.739000e+02	-3.626557e+01	-3.626570e+01
-1.738800e+02	-3.628642e+01	-3.628489e+01
-1.738600e+02	-3.630880e+01	-3.630380e+01
-1.738400e+02	-3.632862e+01	-3.632317e+01
-1.738200e+02	-3.634745e+01	-3.634315e+01
-1.738000e+02	-3.636730e+01	-3.636321e+01
-1.737800e+02	-3.638203e+01	-3.638334e+01
-1.737600e+02	-3.639780e+01	-3.640351e+01
-1.737400e+02	-3.641765e+01	-3.642345e+01
-1.737200e+02	-3.644053e+01	-3.644307e+01
-1.737000e+02	-3.646140e+01	-3.646203e+01
-1.736800e+02	-3.647663e+01	-3.648061e+01
-1.736600e+02	-3.650105e+01	-3.649930e+01
-1.736400e+02	-3.652140e+01	-3.651786e+01
-1.736200e+02	-3.654228e+01	-3.653630e+01
-1.736000e+02	-3.656108e+01	-3.655488e+01
-1.735800e+02	-3.657582e+01	-3.657324e+01
-1.735600e+02	-3.659515e+01	-3.659189e+01
-1.735400e+02	-3.660888e+01	-3.661045e+01
-1.735200e+02	-3.662670e+01	-3.662898e+01
-1.735000e+02	-3.664502e+01	-3.664763e+01
-1.734800e+02	-3.666077e+01	-3.666617e+01
-1.734600e+02	-3.668110e+01	-3.668489e+01
-1.734400e+02	-3.670502e+01	-3.670373e+01
-1.734200e+02	-3.672030e+01	-3.672238e+01
-1.734000e+02	-3.674060e+01	-3.674171e+01
-1.733800e+02	-3.676150e+01	-3.676156e+01
-1.733600e+02	-3.678133e+01	-3.678209e+01
-1.733400e+02	-3.680672e+01	-3.680308e+01
-1.733200e+02	-3.682353e+01	-3.682417e+01
-1.733000e+02	-3.684843e+01	-3.684551e+01
-1.732800e+02	-3.686778e+01	-3.686656e+01
-1.732600e+02	-3.688303e+01	-3.688777e+01
-1.732400e+02	-3.690543e+01	-3.690899e+01
-1.732200e+02	-3.692780e+01	-3.692988e+01
-1.732000e+02	-3.695168e+01	-3.695087e+01
-1.731800e+02	-3.697613e+01	-3.697228e+01
-1.731600e+02	-3.699647e+01	-3.699317e+01
-1.731400e+02	-3.701630e+01	-3.701379e+01
-1.731200e+02	-3.703412e+01	-3.703402e+01
-1.731000e+02	-3.705292e+01	-3.705378e+01
-1.730800e+02	-3.707225e+01	-3.707380e+01
-1.730600e+02	-3.709262e+01	-3.709332e+01
-1.730400e+02	-3.711547e+01	-3.711279e+01
-1.730200e+02	-3.713328e+01	-3.713224e+01
-1.730000e+02	-3.715260e+01	-3.715128e+01
-1.729800e+02	-3.717347e+01	-3.717008e+01
-1.729600e+02	-3.719025e+01	-3.718913e+01
-1.729400e+02	-3.720398e+01	-3.720809e+01
-1.729200e+02	-3.722332e+01	-3.722721e+01
-1.729000e+02	-3.724162e+01	-3.724621e+01
-1.728800e+02	-3.726300e+01	-3.726517e+01
-1.728600e+02	-3.728533e+01	-3.728396e+01
-1.728400e+02	-3.730213e+01	-3.730252e+01
-1.728200e+02	-3.732248e+01	-3.732129e+01
-1.728000e+02	-3.734490e+01	-3.734012e+01
-1.727800e+02	-3.736165e+01	-3.735923e+01
-1.727600e+02	-3.737895e+01	-3.737841e+01
-1.727400e+02	-3.739978e+01	-3.739732e+01
-1.727200e+02	-3.741252e+01	-3.741628e+01
-1.727000e+02	-3.743233e+01	-3.743484e+01
-1.726800e+02	-3.745068e+01	-3.745283e+01
-1.726600e+02	-3.747100e+01	-3.747070e+01
-1.726400e+02	-3.749033e+01	-3.748878e+01
-1.726200e+02	-3.750967e+01	-3.750719e+01
-1.726000e+02	-3.753153e+01	-3.752609e+01
-1.725800e+02	-3.754628e+01	-3.754486e+01
-1.725600e+02	-3.756358e+01	-3.756358e+01
-1.725400e+02	-3.758037e+01	-3.758287e+01
-1.725200e+02	-3.759510e+01	-3.760248e+01
-1.725000e+02	-3.761650e+01	-3.762203e+01
-1.724800e+02	-3.763582e+01	-3.764207e+01
-1.724600e+02	-3.765972e+01	-3.766183e+01
-1.724400e+02	-3.768412e+01	-3.768158e+01
