filename,sweep,peakPhase
2021_12_09_0011.abf,0,0.654599999999999
2021_12_09_0011.abf,0,0.981099999999998
2021_12_09_0011.abf,0,0.279400000000003
2021_12_09_0011.abf,0,0.590799999999998
2021_12_09_0011.abf,0,0.8826
2021_12_09_0011.abf,0,0.206
2021_12_09_0011.abf,0,0.5245
2021_12_09_0011.abf,0,0.834700000000002
2021_12_09_0011.abf,0,0.152999999999999
2021_12_09_0011.abf,0,0.450099999999999
2021_12_09_0011.abf,0,0.743099999999998
2021_12_09_0011.abf,1,0.008100000000001
2021_12_09_0011.abf,1,0.3027
2021_12_09_0011.abf,1,0.6403
2021_12_09_0011.abf,1,0.9605
2021_12_09_0011.abf,1,0.2863
2021_12_09_0011.abf,1,0.6233
2021_12_09_0011.abf,1,0.9476
2021_12_09_0011.abf,1,0.277100000000001
2021_12_09_0011.abf,1,0.6029
2021_12_09_0011.abf,1,0.9008
2021_12_09_0011.abf,1,0.2004
2021_12_09_0011.abf,1,0.519600000000001
2021_12_09_0011.abf,1,0.8331
2021_12_09_0011.abf,1,0.1229
2021_12_09_0011.abf,1,0.4443
2021_12_09_0011.abf,1,0.749499999999999
2021_12_09_0011.abf,1,0.0625
2021_12_09_0011.abf,1,0.364700000000001
2021_12_09_0011.abf,1,0.6785
2021_12_09_0011.abf,1,0.0122
2021_12_09_0011.abf,1,0.299100000000001
2021_12_09_0011.abf,1,0.626799999999999
2021_12_09_0011.abf,1,0.952999999999999
2021_12_09_0011.abf,1,0.290100000000001
2021_12_09_0011.abf,1,0.600200000000001
2021_12_09_0011.abf,1,0.885999999999999
2021_12_09_0011.abf,1,0.186999999999999
2021_12_09_0011.abf,1,0.5182
2021_12_09_0011.abf,1,0.8047
2021_12_09_0011.abf,1,0.0961
2021_12_09_0011.abf,1,0.3889
2021_12_09_0011.abf,1,0.671700000000001
2021_12_09_0011.abf,1,0.9724
2021_12_09_0011.abf,1,0.273700000000002
2021_12_09_0011.abf,1,0.568299999999999
2021_12_09_0011.abf,1,0.8939
2021_12_09_0011.abf,1,0.1982
2021_12_09_0011.abf,1,0.517299999999999
2021_12_09_0011.abf,1,0.831499999999998
2021_12_09_0011.abf,1,0.114099999999997
2021_12_09_0011.abf,1,0.436599999999999
2021_12_09_0011.abf,1,0.732400000000002
2021_12_09_0011.abf,1,0.060200000000002
